CustomerKey,Gender,Occupation,GeographyKey,YearlyIncome,CustomerName
11000,M,Professional,26,90000,Jon V Yang
11001,M,Professional,37,60000,Eugene L Huang
11002,M,Professional,31,60000,Ruben Torres
11003,F,Professional,11,70000,Christy Zhu
11004,F,Professional,19,80000,Elizabeth Johnson
11005,M,Professional,22,70000,Julio Ruiz
11006,F,Professional,8,70000,Janet G Alvarez
11007,M,Professional,40,60000,Marco Mehta
11008,F,Professional,32,60000,Rob Verhoff
11009,M,Professional,25,70000,Shannon C Carlson
11010,F,Professional,22,70000,Jacquelyn C Suarez
11011,M,Professional,22,60000,Curtis Lu
11012,F,Management,611,100000,Lauren M Walker
11013,M,Management,543,100000,Ian M Jenkins
11014,F,Management,634,100000,Sydney Bennett
11015,F,Skilled Manual,301,30000,Chloe Young
11016,M,Skilled Manual,329,30000,Wyatt L Hill
11017,F,Skilled Manual,39,20000,Shannon Wang
11018,M,Clerical,32,30000,Clarence D Rai
11019,M,Skilled Manual,52,40000,Luke L Lal
11020,M,Skilled Manual,53,40000,Jordan C King
11021,F,Skilled Manual,536,40000,Destiny Wilson
11022,M,Skilled Manual,609,40000,Ethan G Zhang
11023,M,Skilled Manual,298,40000,Seth M Edwards
11024,M,Skilled Manual,311,60000,Russell Xie
11025,M,Clerical,24,10000,Alejandro Beck
11026,M,Clerical,4,30000,Harold Sai
11027,M,Clerical,40,30000,Jessie R Zhao
11028,F,Clerical,17,30000,Jill Jimenez
11029,M,Clerical,32,30000,Jimmy L Moreno
11030,F,Clerical,28,10000,Bethany G Yuan
11031,F,Skilled Manual,8,20000,Theresa G Ramos
11032,F,Skilled Manual,35,20000,Denise Stone
11033,M,Skilled Manual,9,20000,Jaime Nath
11034,F,Skilled Manual,12,20000,Ebony Gonzalez
11035,F,Clerical,33,10000,Wendy Dominguez
11036,F,Skilled Manual,343,60000,Jennifer C Russell
11037,F,Clerical,49,40000,Chloe M Garcia
11038,F,Clerical,6,10000,Diana F Hernandez
11039,M,Clerical,19,30000,Marc J Martin
11040,M,Skilled Manual,642,30000,Jesse Murphy
11041,F,Skilled Manual,325,60000,Amanda M Carter
11042,F,Skilled Manual,338,70000,Megan J Sanchez
11043,M,Skilled Manual,325,60000,Nathan M Simmons
11044,M,Clerical,25,20000,Adam L Flores
11045,M,Skilled Manual,8,30000,Leonard G Nara
11046,F,Skilled Manual,6,30000,Christine Yuan
11047,F,Skilled Manual,34,30000,Jaclyn D Lu
11048,M,Skilled Manual,39,30000,Jeremy Powell
11049,F,Clerical,307,40000,Carol C Rai
11050,M,Skilled Manual,31,30000,Alan Zheng
11051,M,Skilled Manual,21,30000,Daniel Johnson
11052,F,Clerical,8,40000,Heidi Lopez
11053,F,Skilled Manual,359,60000,Ana E Price
11054,F,Skilled Manual,34,40000,Deanna Munoz
11055,M,Skilled Manual,22,40000,Gilbert Raje
11056,F,Skilled Manual,10,40000,Michele L Nath
11057,M,Management,5,70000,Carl J Andersen
11058,M,Skilled Manual,29,80000,Marc Diaz
11059,F,Skilled Manual,27,80000,Ashlee J Andersen
11060,M,Skilled Manual,40,80000,Jon L Zhou
11061,M,Skilled Manual,23,80000,Todd M Gao
11062,M,Skilled Manual,547,40000,Noah D Powell
11063,F,Skilled Manual,634,40000,Angela Murphy
11064,M,Skilled Manual,315,40000,Chase Reed
11065,F,Skilled Manual,331,60000,Jessica Henderson
11066,F,Professional,543,70000,Grace T Butler
11067,M,Professional,632,60000,Caleb F Carter
11068,F,Skilled Manual,40,80000,Tiffany Liang
11069,F,Skilled Manual,23,80000,Carolyn Navarro
11070,M,Skilled Manual,39,80000,Willie T Raji
11071,F,Skilled Manual,24,80000,Linda Serrano
11072,F,Skilled Manual,17,80000,Casey Luo
11073,F,Skilled Manual,16,70000,Amy Ye
11074,M,Skilled Manual,28,70000,Levi A Arun
11075,F,Professional,32,80000,Felicia L Jimenez
11076,M,Professional,19,80000,Blake Anderson
11077,F,Professional,36,80000,Leah Ye
11078,F,Professional,49,40000,Gina E Martin
11079,M,Management,34,160000,Donald Gonzalez
